SUB_ID,ORD,CASE_ID,SOUNDTYPE,SOUNDNUM,SAMEDIFF,MUS_REF,MUS_COM,REF,A,B,C,D,ANS,CORRECT,TIME,COMPLETED,REP
S01,1,1,MUSIC,0,same,BEE1,BEE1,AC,CP,AC,MH,BP,BP,0,14-Jan-2020 13:34:28,1,1
S01,2,2,MUSIC,0,same,BEE1,BEE1,BP,BP,AC,CP,MH,NA,0,13-Jan-2020 15:27:52,0,1
S01,3,5,MUSIC,0,diff,BEE1,BEE2,AC,BP,AC,MH,CP,NA,0,13-Jan-2020 15:27:52,0,1
S01,4,23,INSTR,7,diff,viulut,viulut2,MH,AC,BP,CP,MH,NA,0,13-Jan-2020 15:27:52,0,1
S01,5,3,MUSIC,0,same,BEE1,BEE1,MH,MH,BP,CP,AC,NA,0,13-Jan-2020 15:27:52,0,1
S01,6,14,MUSIC,0,same,BEE2,BEE2,BP,AC,BP,CP,MH,NA,0,13-Jan-2020 15:27:52,0,1
S01,7,4,MUSIC,0,same,BEE1,BEE1,CP,MH,CP,BP,AC,NA,0,13-Jan-2020 15:27:52,0,1
S01,8,24,INSTR,8,diff,viulut,viulut2,CP,AC,CP,BP,MH,NA,0,13-Jan-2020 15:27:52,0,1
S01,9,10,MUSIC,0,diff,BEE2,BEE1,BP,CP,AC,MH,BP,NA,0,13-Jan-2020 15:27:52,0,1
S01,10,8,MUSIC,0,diff,BEE1,BEE2,CP,CP,BP,AC,MH,NA,0,13-Jan-2020 15:27:52,0,1
S01,11,11,MUSIC,0,diff,BEE2,BEE1,MH,AC,MH,BP,CP,NA,0,13-Jan-2020 15:27:52,0,1
S01,12,13,MUSIC,0,same,BEE2,BEE2,AC,MH,BP,AC,CP,NA,0,13-Jan-2020 15:27:52,0,1
S01,13,7,MUSIC,0,diff,BEE1,BEE2,MH,CP,AC,BP,MH,NA,0,13-Jan-2020 15:27:52,0,1
S01,14,10,MUSIC,0,diff,BEE2,BEE1,BP,BP,MH,CP,AC,NA,0,13-Jan-2020 15:27:52,0,1
S01,15,17,INSTR,1,same,viulut,viulut,AC,AC,CP,BP,MH,NA,0,13-Jan-2020 15:27:52,0,1
S01,16,6,MUSIC,0,diff,BEE1,BEE2,BP,BP,MH,CP,AC,NA,0,13-Jan-2020 15:27:52,0,1
S01,17,3,MUSIC,0,same,BEE1,BEE1,MH,AC,BP,CP,MH,NA,0,13-Jan-2020 15:27:52,0,1
